Species,Bl_mm,Tl_mm,Wt_g,Bl_min,Bl_max,Tl_min,Tl_max,Wt_min,Wt_max,Bl_min_M,Bl_max_M,Bl_min_F,Bl_max_F,Tl_min_M,Tl_max_M,Tl_min_F,Tl_max_F,Wt_min_M,Wt_max_M,Wt_min_F,Wt_max_F,Bl_Av_M,Bl_Av_F,Tl_Av_M,Tl_Av_F,Wt_Av_M,Wt_Av_F,Locomotor_use,Habitat,Order
Conilurus_albipes,,,200,230,260,220,240,,,,,,,,,,,,,,,,,,,,,Both,Forest/shrubland,Murine
Conilurus_penicillatus,165,188,,135,227,102,235,,,,,,,,,,,116,242,102,202,,,,,163,144,Both,Forest/shrubland,Murine
Hydromys_chrysogaster,,,,,,,,,,231,345,245,370,227,320,242,325,400,1275,340,992,310,290,275,272,755,606,NA,NA,Murine
Leggadina_forresti,85,60,20,70,100,50,70,13,30,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Leggadina_lakedownensis,,,,50,92,39,81,15,40,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Leporillus_apicalis,190,230,150,170,200,220,240,,,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Leporillus_conditor,220,170,350,170,260,145,180,180,450,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Mastacomys_fuscus,161,116,122,142,175,100,130,97,145,,,,,,,,,,,,,,,,,,,Terrestrial,Forest/shrubland,Murine
Melomys_burtoni,,,,,,,,,,90,160,95,145,90,175,100,170,26,124,26,97,,,,,,,Terrestrial,Forest/shrubland,Murine
Melomys_capensis,,,,,,,,,,120,162,119,152,129,172,133,171,45,116,45,96,144,135,148,149,75,65,Both,Rainforest,Murine
Melomys_cervinipes,124,137,76,100,160,105,180,45,120,,,,,,,,,,,,,,,,,,,Both,Rainforest,Murine
Melomys_rubicola,157,170,122,148,165,145,185,78,164,,,,,,,,,,,,,,,,,,,NA,Forest/shrubland,Murine
Mesembriomys_gouldii,,,,,,,,,,251,308,251,290,334,412,320,492,650,830,580,882,290,279,371,358,728,705,Both,Rainforest,Murine
Mesembriomys_macrourus,220,315,267,188,245,291,360,207,330,,,,,,,,,,,,,,,,,,,Both,Rainforest,Murine
Notomys_alexis,102,137,35,95,112,131,150,27,45,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Notomys_amplus,143,153,100,,,,,,,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Notomys_aquilo,,,,91,112,158,173,35,44,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Notomys_cervinus,110,150,35,95,120,105,160,30,50,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Notomys_fuscus,96,139,32,75,115,115,155,26,55,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Notomys_longicaudatus,,,100,102,164,132,204,,,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Notomys_macrotis,,,45,117,118,129,136,,,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Notomys_mitchellii,115,150,52,100,125,140,155,40,60,,,,,,,,,,,,,,,,,,,Saltatorial,Arid,Murine
Pogonomys_loriae,,,,,,,,,,130,160,134,141,160,208,165,197,52,85,40,79,143,137,177,180,72,60,Both,Rainforest,Murine
Pseudomys_albocinereus,,,,,,,,,,63,95,63,85,95,105,85,97,30,40,14,29,79,74,100,91,35,26,Terrestrial,Arid,Murine
Pseudomys_apodemoides,75,105,20,65,80,90,110,16,22,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Pseudomys_auritus,158,117,,145,172,112,121,,,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Pseudomys_australis,105,105,40,90,145,85,125,30,65,,,,,,,,,,,,,,,,,,,Terrestrial,Arid,Murine
Pseudomys_bolami,,,,50,80,71,103,9,16,,,,,,,,,,,,,,,,,,,NA,Forest/shrubland,Murine
Pseudomys_calabyi,,,,,,,,,,69,95,68,82,72,94,64,85,12,21,11.5,20,84.4,78.8,78.4,74,16.7,16,Terrestrial,Rocky,Murine
Pseudomys_chapmani,60,75,12,52,67,73,79,10,15,,,,,,,,,,,,,,,,,,,NA,Rocky,Murine
Pseudomys_delicatulus,,,,55,75,55,80,6,15,,,,,,,,,,,,,,,,,,,Terrestrial,Arid,Murine
Pseudomys_desertor,83,83,25,70,105,67,103,11,35,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Pseudomys_fieldi,100,120,45,85,115,115,125,30,61,,,,,,,,,,,,,,,,,,,NA,Forest/shrubland,Murine
Pseudomys_fumeus,90,135,59.5,85,100,110,145,38,90,,,,,,,,,,,,,,,,,,,Terrestrial,Forest/shrubland,Murine
Pseudomys_glaucus,95,100,,,,,,25,30,,,,,,,,,,,,,,,,,,,NA,Forest/shrubland,Murine
Pseudomys_gouldii,,,50,100,120,90,100,,,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Pseudomys_gracilicaudatus,,,,,,,,,,115,145,105,138,82,120,80,114,55,118,45,81,,,,,,,NA,Forest/shrubland,Murine
Pseudomys_hermannsburgensis,75,80,12,65,85,70,90,9,14.5,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Pseudomys_higginsi,133,162,67,115,150,145,200,50,90,,,,,,,,,,,,,,,,,,,Terrestrial,Rainforest,Murine
Pseudomys_johnsoni,,,,58,76,63,95,7,20,,,,,,,,,,,,,,,,,,,Terrestrial,Rocky,Murine
Pseudomys_nanus,,,,,,,,,,85,130,71,116,75,121,78,120,21,56,17.5,56,106,94,100,100,34,31,NA,Arid,Murine
Pseudomys_novaehollandiae,78,87,19.5,65,88,81,107,12,26,,,,,,,,,,,,,,,,,,,Terrestrial,Forest/shrubland,Murine
Pseudomys_occidentalis,97,129,34,90,110,120,140,33,53,,,,,,,,,,,,,,,,,,,NA,Forest/shrubland,Murine
Pseudomys_oralis,,,,,,,,,,130,155,120,145,110,150,110,140,85,100,80,90,140,130,125,120,95,85,NA,Forest/shrubland,Murine
Pseudomys_patrius,63,,14,55,77,55,85,10,19,,,,,,,,,,,,,,,72,75,,,NA,Rocky,Murine
Pseudomys_pilligaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Forest/shrubland,Murine
Pseudomys_shortridgei,110,95,70,90,120,85,100,55,90,,,,,,,,,,,,,,,,,,,NA,Arid,Murine
Uromys_caudimaculatus,,,,,,,,,,305,382,275,363,340,362,323,357,500,890,500,800,,,,,,,Both,Rainforest,Murine
Uromys_hadrourus,189,201,196,168,200,180,213,170,230,,,,,,,,,,,,,,,,,,,Terrestrial,Rainforest,Murine
Xeromys_myoides,,,42,,,,,32,64,72,126,74,124,62,94,63,99,,,,,105,102,85,82,,,NA,NA,Murine
Zyzomys_argurus,108,,36,85,122,,,26,55,,,,,,,,,,,,,,,,,,,NA,Rocky,Murine
Zyzomys_maini,146,,94,115,170,,,65,190,,,,,,,,,,,,,,,,,,,Terrestrial,Rocky,Murine
Zyzomys_palatalis,126,131,115,91,151,100,152,65,161,,,,,,,,,,,,,,,,,,,NA,Rocky,Murine
Zyzomys_pedunculatus,,,,108,140,110,140,70,150,,,,,,,,,,,,,,,,,,,Terrestrial,Rocky,Murine
Zyzomys_woodwardi,143,122,140,121,166,111,130,80,190,,,,,,,,,,,,,,,,,,,NA,Rocky,Murine
Rattus_colletti,132,,61,65,211,78,149,22,213,,,,,,,,,,,,,,,,,,,NA,Arid,Rattus
Rattus_fuscipes,,,,111,214,105,195,40,225,,,,,,,,,,,,,,,,,,,Terrestrial,Forest/shrubland,Rattus
Rattus_leucopus,176,162,132,155,214,142,209,95,207,,,,,,,,,,,,,,,,,,,Terrestrial,Rainforest,Rattus
Rattus_lutreolus,,,,122,197,56,147,50,200,,,,,,,,,,,,,,,,,,,Terrestrial,Forest/shrubland,Rattus
Rattus_macleari,230,250,200,220,240,245,267,,,,,,,,,,,,,,,,,,,,,Both,Forest/shrubland,Rattus
Rattus_nativitatis,,,,250,275,175,176,250,300,,,,,,,,,,,,,,,,,,,NA,Forest/shrubland,Rattus
Rattus_sordidus,161,126,118,100,210,100,162,50,260,,,,,,,,,,,,,,,,,,,Terrestrial,Forest/shrubland,Rattus
Rattus_tunneyi,148,123,86,118,194,78,151,46,165,,,,,,,,,,,,,,,,,,,Terrestrial,Forest/shrubland,Rattus
Rattus_villosissimus,,,,,,,,,,150,220,120,205,125,180,100,175,65,280,54,200,187,167,150,147,156,112,Terrestrial,Arid,Rattus
