"Species","Bl_mm","Tl_mm","Wt_g","Bl_min","Bl_max","Tl_min","Tl_max","Wt_min","Wt_max","Bl_min_M","Bl_max_M","Bl_min_F","Bl_max_F","Tl_min_M","Tl_max_M","Tl_min_F","Tl_max_F","Wt_min_M","Wt_max_M","Wt_min_F","Wt_max_F","Bl_Av_M","Bl_Av_F","Tl_Av_M","Tl_Av_F","Wt_Av_M","Wt_Av_F","Locomotor_use","Clade"
"Antechinomys_laniger",85,125,25,70,100,100,150,NA,NA,80,100,70,95,100,150,100,140,NA,NA,NA,NA,85,85,130,120,30,20,"Terrestrial","Dasyuromorph"
"Antechinus_agilis",91,89,24,62,128,60,116,16,40,65,124,62,128,63,116,60,103,20,40,16,25,98,84,89,89,30,18,"Scansorial","Dasyuromorph"
"Antechinus_bellus",125.5,107,44.5,110,148,93,126,26,66,121,148,110,130,105,126,93,110,42,66,26,41,134,117,114,100,55,34,"Scansorial","Dasyuromorph"
"Antechinus_flavipes",114,93,45,86,165,65,151,21,79,93,165,86,127,70,151,65,107,26,79,21,52,121,107,100,86,56,34,"Scansorial","Dasyuromorph"
"Antechinus_godmani",131.5,111.5,71.5,110,156,92,143,42,123,110,156,117,130,99,143,92,112,48,123,42,78,139,124,120,103,87,56,"Scansorial","Dasyuromorph"
"Antechinus_leo",138.5,122,74,109,160,81,140,32,124,142,160,109,136,127,140,81,125,67,124,32,74,150,127,134,110,94,54,"Scansorial","Dasyuromorph"
"Antechinus_minimus",115,77.5,67.75,98,140,65,100,36,129,103,140,98,117,65,100,67,85,50,129,36,68,120,110,80,75,87,48.5,"Terrestrial","Dasyuromorph"
"Antechinus_mysticus",100,92.5,30.5,80,117,79,117,18,46,93,117,80,114,87,117,79,96,32,46,18,34,107,93,99,86,37,24,"Scansorial","Dasyuromorph"
"Antechinus_stuartii",100,89.5,27.5,73,141,65,124,17,71,81,141,73,116,70,124,65,116,29,71,17,40,106,94,94,85,35,20,"Scansorial","Dasyuromorph"
"Antechinus_swainsonii",122,99.5,53,89,188,75,121,37,178,103,188,89,140,80,121,75,100,43,178,37,100,128,116,107,92,65,41,"Terrestrial","Dasyuromorph"
"Antechnius_adustus",106.5,94,28.5,89,125,72,103,18,42,98,125,89,109,91,103,72,101,28,42,18,35,115,98,98,90,33,24,"Scansorial","Dasyuromorph"
"Antechnius_subtropicus",107.5,92,33.05,95,130,81,105,16,61,95,130,95,110,89,105,81,95,18,61,16,32,115,100,95,89,40.8,25.3,"Scansorial","Dasyuromorph"
"Dasycercus_blythi",140,81.25,83.75,120,165,60,100,60,110,135,165,120,140,75,100,60,90,75,110,60,90,150,130,87.5,75,92.5,75,"Terrestrial","Dasyuromorph"
"Dasycercus_cristicauda",162.5,98.75,120,120,230,80,125,65,185,130,230,120,170,80,125,80,110,110,185,65,120,180,145,102.5,95,147.5,92.5,"Terrestrial","Dasyuromorph"
"Dasykaluta_rosamondae",98.75,62.5,28.75,90,110,55,70,20,40,95,110,90,100,55,70,60,65,25,40,20,30,102.5,95,62.5,62.5,32.5,25,"Terrestrial","Dasyuromorph"
"Dasyuroides_byrnei",157.5,135,117.5,135,180,110,160,70,175,140,180,135,160,110,160,110,160,85,175,70,140,150,165,135,135,130,105,"Terrestrial","Dasyuromorph"
"Dasyurus_geoffroii",335,290,1100,260,400,210,350,615,2185,310,400,260,360,250,350,210,310,710,2185,615,1130,360,310,305,275,1310,890,"Scansorial","Dasyuromorph"
"Dasyurus_hallucatus",299.75,267.25,597.5,249,370,202,345,240,1120,270,370,249,310,222,345,202,300,340,1120,240,690,320,279.5,283.5,251,730,465,"Scansorial","Dasyuromorph"
"Dasyurus_maculatus",484.75,445,2500,350,759,340,550,900,5000,380,759,350,450,370,550,340,520,1500,5000,900,2500,569.5,400,460,430,3000,2000,"Scansorial","Dasyuromorph"
"Dasyurus_viverrinus",355,230,1100,280,450,170,280,700,1900,320,450,280,400,200,280,170,240,900,1900,700,1100,370,340,240,220,1300,900,"Scansorial","Dasyuromorph"
"Myrmecobius_fasciatus",242.5,175.5,537.5,200,290,125,207,305,752,222,290,200,267,125,207,140,203,405,752,305,647,251,234,175,176,597,478,"Terrestrial","Dasyuromorph"
"Ningaui_ridei",66,65,8.5,57,75,59,71,6.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Ningaui_timealeyi",63.25,70.75,6.025,56,76,57,95,3.5,9.5,56,76,56,65,63,95,57,68,3.6,9.5,3.5,7.5,66,60.5,79,62.5,6.55,5.5,"Terrestrial","Dasyuromorph"
"Ningaui_yvonneae",64.5,61,9,48,81,57,71,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Parantechinus_apicalis",142.5,102.5,74.5,NA,NA,NA,NA,40,125,NA,NA,NA,NA,105,115,NA,NA,60,125,40,73,145,140,110,95,92.5,56.5,"Terrestrial","Dasyuromorph"
"Phascogale_calura",107,136.5,51.5,93,122,119,145,38,68,105,122,93,105,134,145,119,144,39,68,38,48,113,101,141,132,60,43,"Arboreal","Dasyuromorph"
"Phascogale_pirata",189.25,195,181.5,150,210,180,208,NA,NA,209,210,150,188,200,208,180,192,NA,NA,108,150,209.5,169,204,186,234,129,"Arboreal","Dasyuromorph"
"Phascogale_tapoatafa",190,200.5,193.5,148,261,160,234,106,311,160,261,148,223,175,234,160,226,175,311,106,212,199,181,207,194,231,156,"Arboreal","Dasyuromorph"
"Planigale_gilesi",72,62,9.2,60,80,55,70,5,16,60,80,60,70,55,70,55,65,9.5,16,5,9,76,68,64,60,11.5,6.9,"Terrestrial","Dasyuromorph"
"Planigale_ingrami",57,59.5,4.2,49,71,51,68,2.6,6.6,50,71,49,64,53,68,51,65,2.8,6.6,2.6,5.8,59,55,61,58,4.6,3.8,"Terrestrial","Dasyuromorph"
"Planigale_maculata",69.8,60.65,9.1,51,90,44,94,3.5,22,51.7,90,51,83,48,94,44,73,4,22,3.5,17.2,70.3,69.3,52.6,68.7,9.8,8.4,"Terrestrial","Dasyuromorph"
"Planigale_tenuirostris",63.5,55.5,6.05,50,75,50,65,4,9,50,75,50,70,52,65,50,60,4.5,9,4,7,65,62,56,55,6.8,5.3,"Terrestrial","Dasyuromorph"
