Species,Tlength_mm,Blength_mm,Wt_g,Habitat,Locomotion,Order,Family,Genus,Prehensility
Notoryctes_caurinus,17,89.5,40,Arid,Terrestrial,Notoryctemorphia,NA,NA,No
Notoryctes_typhlops,18.5,92,55,Arid,Terrestrial,Notoryctemorphia,NA,NA,No
Macrotis_lagotis,242,382.5,1350,Arid,Terrestrial,Peramelemorphia,NA,NA,No
Isoodon_obesulus,113.25,317.5,987.5,Forest_shrub,Terrestrial,Peramelemorphia,Peramelidae,NA,No
Isoodon_auratus,102.5,242.5,455,Arid,Terrestrial,Peramelemorphia,Peramelidae,NA,No
Isoodon_macrourus,142.5,370,1450,Forest_shrub,Terrestrial,Peramelemorphia,Peramelidae,NA,No
Perameles_bougainville,92.75,200,248,Arid,Terrestrial,Peramelemorphia,Peramelidae,NA,No
Perameles_gunnii,86.25,310,887.5,Arid,Terrestrial,Peramelemorphia,Peramelidae,NA,No
Perameles_nasuta,140,377.5,925,Forest_shrub,Terrestrial,Peramelemorphia,Peramelidae,NA,No
Chaeropus_ecaudatus,125,245,200,Arid,Terrestrial,Peramelemorphia,NA,NA,No
Echymipera_rufescens,87,347,1062.5,Forest_shrub,Terrestrial,Peramelemorphia,NA,NA,No
Thylacinus_cynocephalus,575,1150,25000,Forest_shrub,Terrestrial,Dasyuromorphia,NA,NA,No
Myrmecobius_fasciatus,171.25,244.75,527.25,Forest_shrub,Terrestrial,Dasyuromorphia,NA,NA,No
Planigale_maculata,62.25,68.925,11.675,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Planigale,No
Planigale_ingrami,59.25,58.5,4.45,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Planigale,No
Planigale_gilesi,61.25,67.5,9.875,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Planigale,No
Planigale_tenuirostris,56.75,61.25,6.125,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Planigale,No
Sminthopsis_crassicaudata,55,75,15,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_bindi,81.25,68.5,16,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_virginiae,109.25,113.5,35.25,Forest_shrub,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_douglasi,120,125,55,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_macroura,95,85,20,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Ningaui_timealeyi,70.75,63.25,6.025,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Ningaui,No
Ningaui_yvonneae,62,64.5,10,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Ningaui,No
Ningaui_ridei,65,66,8.5,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Ningaui,No
Sminthopsis_longicaudata,200,87.5,20,Rocky,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Antechinomys_laniger,122.5,86.25,25,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,NA,No
Sminthopsis_griseoventer,81,78.75,18.25,Forest_shrub,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_aitkeni,93.75,82.75,17.5,Arid,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_granulipes,61,78.5,27.5,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_hirtipes,86.5,77.5,16.25,Arid,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_youngsoni,65,68.5,10.25,Arid,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_psammophila,109.5,99.5,37,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_ooldea,77.5,71.25,12.25,Arid,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_archeri,91.5,93.25,14,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_gilberti,83.5,86.5,19.5,Arid,NA,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_murina,82.25,84,19,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_butleri,90,88,22.5,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_dolichura,94.5,79.25,15.5,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Sminthopsis_leucopus,84,94.5,24,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,Sminthopsis,No
Phascogale_tapoatafa,198.75,198,201,Forest_shrub,Arboreal,Dasyuromorphia,Dasyuridae,Phascogale,No
Phascogale_calura,135.5,106.25,48.25,Forest_shrub,Arboreal,Dasyuromorphia,Dasyuridae,Phascogale,No
Antechinus_minimus,79.25,114.5,71.75,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,Antechinus,No
Antechinus_swainsonii,94,130,89.5,Rainforest,Terrestrial,Dasyuromorphia,Dasyuridae,Antechinus,No
Antechinus_godmani,111.5,128.25,72.75,Rainforest,Scansorial,Dasyuromorphia,Dasyuridae,Antechinus,No
Antechinus_stuartii,93.75,102.75,39.25,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,Antechinus,No
Antechinus_agilis,85.5,94.75,25.25,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,Antechinus,No
Antechinus_flavipes,98.25,117.75,44.5,Forest_shrub,Scansorial,Dasyuromorphia,Dasyuridae,Antechinus,No
Antechinus_bellus,108.5,127.25,43.75,Arid,Scansorial,Dasyuromorphia,Dasyuridae,Antechinus,No
Antechinus_leo,118.25,136.75,74.25,Rainforest,Scansorial,Dasyuromorphia,Dasyuridae,Antechinus,No
Dasyuroides_byrnei,135,153.75,117.5,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,NA,No
