Scientific_name	Tail_length_max	Body_length_max	Weight_max	Tail_length_min	Body_length_min	Weight_min
Notoryctes_caurinus	18	93	50	16	86	30
Notoryctes_typhlops	24	115	70	13	69	40
Macrotis_lagotis	284	470	1800	200	295	900
Isoodon_obesulus	136.5	345	1525	90	290	450
Isoodon_auratus	121	295	635	84	190	275
Isoodon_macrourus	200	440	2400	85	300	500
Perameles_bougainville	103	224	329.5	82.5	176	166.5
Perameles_gunnii	102.5	350	1275	70	270	500
Perameles_nasuta	160	445	1330	120	310	520
Chaeropus_ecaudatus	150	260	200	100	230	200
Echymipera_rufescens	99	447.5	1712.5	75	246.5	412.5
Thylacinus_cynocephalus	650	1300	35000	500	1000	15000
Myrmecobius_fasciatus	210	278.5	699.5	132.5	211	355
Planigale_maculata	78.5	86.5	19.6	46	51.35	3.75
Planigale_ingrami	66.5	67.5	6.2	52	49.5	2.7
Planigale_gilesi	67.5	75	12.5	55	60	7.25
Planigale_tenuirostris	62.5	72.5	8	51	50	4.25
Sminthopsis_crassicaudata	70	90	20	40	60	10
Sminthopsis_bindi	101	82	20	61.5	55	12
Sminthopsis_virginiae	123.5	134	46	95	93	24.5
Sminthopsis_douglasi	125	130	65	115	120	45
Sminthopsis_macroura	110	100	25	80	70	15
Ningaui_timealeyi	81.5	70.5	8.5	60	56	3.55
Ningaui_yvonneae	71	81	14	53	48	6
Ningaui_ridei	71	75	10.5	59	57	6.5
Sminthopsis_longicaudata	210	95	25	190	80	15
Antechinomys_laniger	145	97.5	25	100	75	25
Sminthopsis_griseoventer	96.5	91	22	65.5	66.5	14.5
Sminthopsis_aitkeni	100	87.5	20	87.5	78	15
Sminthopsis_granulipes	66	88	37	56	69	18
Sminthopsis_hirtipes	101	83	19.5	72	72	13
Sminthopsis_youngsoni	68	71	12	62	66	8.5
Sminthopsis_psammophila	113	114	48.5	106	85	25.5
Sminthopsis_ooldea	92.5	85	16	62.5	57.5	8.5
Sminthopsis_archeri	96	96	14	87	90.5	14
Sminthopsis_gilberti	92	92	25	75	81	14
Sminthopsis_murina	95.5	98	25	69	70	13
Sminthopsis_butleri	90	88	30	90	88	15
Sminthopsis_dolichura	103	95.5	20.5	86	63	10.5
Sminthopsis_leucopus	98	114.5	32	70	74.5	16
Phascogale_tapoatafa	230	242	261.5	167.5	154	140.5
Phascogale_calura	144.5	113.5	58	126.5	99	38.5
Antechinus_minimus	92.5	128.5	98.5	66	100.5	45
Antechinus_swainsonii	110.5	164	139	77.5	96	40
Antechinus_godmani	127.5	143	100.5	95.5	113.5	45
Antechinus_stuartii	120	128.5	55.5	67.5	77	23
Antechinus_agilis	109.5	126	32.5	61.5	63.5	18
Antechinus_flavipes	129	146	65.5	67.5	89.5	23.5
Antechinus_bellus	118	139	53.5	99	115.5	34
Antechinus_leo	132.5	148	99	104	125.5	49.5
Dasyuroides_byrnei	160	170	157.5	110	137.5	77.5
Pseudantechinus_bilarni	122.5	115	37.5	90	90	17.5
Pseudantechinus_ningbing	90	95	22.5	77.5	85	17.5
Dasycercus_cristicauda	147.5	170	152.5	100	105	87.5
Pseudantechinus_woolleyae	80	108	47.5	75	103.5	32.5
Pseudantechinus_roryi	88	90	29	66	80	18
Pseudantechinus_macdonnellensis	82.5	105	42.5	75	95	22.5
Pseudantechinus_mimulus	73	90.5	21.5	61	71.5	14
Parantechinus_apicalis	142.5	105	99	142.5	100	50
Dasykaluta_rosamondae	67.5	105	35	57.5	92.5	22.5
Sarcophilus_harrisii	251	611	11500	251	611	6500
Dasyurus_hallucatus	322.5	340	905	212	259.5	290
Dasyurus_maculatus	485	604.5	3750	355	365	1200
Dasyurus_viverrinus	260	425	1500	185	300	800
Dasyurus_geoffroii	330	380	1657.5	230	285	662.5
Vombatus_ursinus	25	1150	39000	25	840	22000
Lasiorhinus_latifrons	57	1110	36000	27.5	845	18250
Burramys_parvus	137	110.5	78.5	137	110.5	30
Cercartetus_caudatus	151	108	40	128	103	25
Cercartetus_concinnus	101	106	21	53	59	8
Cercartetus_nanus	105	110	43	75	70	15
Cercartetus_lepidus	75	73	10	60	50	6
Wyulda_squamicaudata	300	395	2000	300	310	900
Trichosurus_vulpecula	400	550	4000	250	350	1250
Trichosurus_caninus	420	500	4500	340	400	2500
Phalanger_mimicus	350	400	2200	280	350	1500
Spilocuscus_maculatus	435	580	4900	310	348	1500
Acrobates_pygmaeus	88	85	19	70	65	10
Tarsipes_rostratus	102.5	87.5	13.5	72.5	67.5	7.5
Petaurus_norfolcensis	330	230	300	220	180	190
Petaurus_breviceps	210	210	147.5	165	160	105
Dactylopsila_trivirgata	345	262	510	345	262	369
Gymnobelideus_leadbeateri	180	170	150.5	145	150	110
Pseudochirops_archeri	355.5	401.5	1462.5	302.5	324	910
Petropseudes_dahli	243	380	2000	203.5	341.5	1280
Hemibelideus_lemuroides	384	380	1125	272	314	830
Petauroides_volans	660	460	1700	450	350	900
Pseudocheirus_peregrinus	350	350	900	300	300	700
Pseudochirulus_herbertensis	440	388	1392.5	347.5	325.5	779.5
Hypsiprymnodon_moschatus	156	262.5	657.5	127.5	182.5	406.5
Potorous_longipes	415	325	2000	380	315	1800
Potorous_tridactylus	258	394	1495	201	273	700
Potorous_gilbertii	234	357	1202.5	207.5	288.5	776.5
Aepyprymnus_rufescens	398.5	440	3000	318	354	1600
Bettongia_tropica	346.5	431	1350	277.5	307.5	950
Bettongia_lesueur	285	360	1280	285	360	1280
Bettongia_gaimardi	345	332	2250	288	315	1200
Bettongia_penicillata	360	357.5	1500	250	290	862.5
Lagostrophus_fasciatus	360	450	2300	230	400	1000
Setonix_brachyurus	520	297.5	3850	410	242.5	2150
Onychogalea_fraenata	490	620	7000	370	470	4500
Onychogalea_unguifera	690	645	8000	600	515	5250
Lagorchestes_conspicillatus	530	490	4750	370	390	1600
Lagorchestes_hirsutus	292.5	375	1880	252.5	335	1012.5
Wallabia_bicolor	795	798.5	17950	665	694	11300
Macropus_giganteus	966	2079.5	63500	438	965	18000
Macropus_fuliginosus	907.5	1985.5	55500	434	958.5	17500
Macropus_rufus	950	1250	65500	677.5	840	19500
Macropus_antilopinus	886.5	1067.5	37750	704.5	781.5	16300
Macropus_robustus	825	958	44000	542.5	580	6750
Macropus_irma	970	1200	9000	540	1200	7000
Macropus_rufogriseus	833	862.5	19600	683.5	739	13500
Macropus_dorsalis	725.5	718.5	14300	588.5	548.5	6950
Macropus_agilis	770	786	21000	639.5	654	12500
Macropus_eugenii	445	655	8000	355	555	5000
Macropus_parma	525.5	527.5	5350	447	464.5	3650
Macropus_parryi	951.5	941	20500	794.5	673	10500
Thylogale_billardierii	368.5	595	11000	368.5	595	3100
Thylogale_thetis	440	560	6700	270	295	2150
Thylogale_stigmatica	459	528	5500	336.5	428	3100
Dendrolagus_lumholtzi	770	692.5	8800	562.5	470	5250
Dendrolagus_bennettianus	835	727.5	12150	775	630	8900
Petrogale_persephone	684.5	618	9150	539.5	509	3900
Petrogale_xanthopus	687.5	625	12000	567.5	520	6000
Petrogale_burbidgei	290	353	1430	264	306	960
Petrogale_concinna	310	350	1600	220	290	1060
Petrogale_brachyotis	535	517.5	5150	353.5	420	2700
Petrogale_rothschildi	658.5	559	5950	559.5	497.5	4350
Petrogale_purpureicollis	559	580.5	6400	466.5	427	3000
Petrogale_lateralis	601.5	495.5	4800	467.5	475.5	3450
Petrogale_herberti	615.5	590.5	5800	510	486	4350
Petrogale_penicillata	665	578	9550	505	519.5	5200
Petrogale_assimilis	547.5	570	4500	427	457.5	4500
Petrogale_godmani	590	549	4750	500	500	4750
Petrogale_coenensis	520	537.5	4600	477.5	490	4150
Petrogale_mareeba	498.5	524	4150	417.5	425	4150
Petrogale_sharmani	507	502.5	4250	467.5	472.5	4250
Petrogale_inornata	600	565	5300	460	480.5	3250
