Scientific_name	Tail_length_M	Body_length_M	Weight_M	Tail_length_F	Body_length_F	Weight_F
Notoryctes_caurinus	NA	NA	NA	NA	NA	NA
Notoryctes_typhlops	NA	NA	NA	NA	NA	NA
Macrotis_lagotis	245	425	1750	239	340	950
Isoodon_obesulus	117.5	330	1175	109	305	800
Isoodon_auratus	NA	NA	NA	NA	NA	NA
Isoodon_macrourus	152.5	385	1800	132.5	355	1100
Perameles_bougainville	90.5	202.5	224	95	197.5	272
Perameles_gunnii	90	310	800	82.5	310	975
Perameles_nasuta	NA	NA	NA	NA	NA	NA
Chaeropus_ecaudatus	NA	NA	NA	NA	NA	NA
Echymipera_rufescens	91	379	1375	83	315	750
Thylacinus_cynocephalus	NA	NA	NA	NA	NA	NA
Myrmecobius_fasciatus	166	256	578.5	176.5	233.5	476
Planigale_maculata	66	70.85	13	58.5	67	10.35
Planigale_ingrami	60.5	60.5	4.7	58	56.5	4.2
Planigale_gilesi	62.5	70	12.75	60	65	7
Planigale_tenuirostris	58.5	62.5	6.75	55	60	5.5
Sminthopsis_crassicaudata	NA	NA	NA	NA	NA	NA
Sminthopsis_bindi	83.5	71	16	79	66	16
Sminthopsis_virginiae	117.5	115.5	44.5	101	111.5	26
Sminthopsis_douglasi	125	132.5	60	115	117.5	50
Sminthopsis_macroura	NA	NA	NA	NA	NA	NA
Ningaui_timealeyi	79	66	6.55	62.5	60.5	5.5
Ningaui_yvonneae	NA	NA	NA	NA	NA	NA
Ningaui_ridei	NA	NA	NA	NA	NA	NA
Sminthopsis_longicaudata	210	90	20	190	85	20
Antechinomys_laniger	125	90	30	120	82.5	20
Sminthopsis_griseoventer	82	81	19.5	80	76.5	17
Sminthopsis_aitkeni	98	88.5	22.5	89.5	77	12.5
Sminthopsis_granulipes	NA	NA	NA	NA	NA	NA
Sminthopsis_hirtipes	NA	NA	NA	NA	NA	NA
Sminthopsis_youngsoni	NA	NA	NA	NA	NA	NA
Sminthopsis_psammophila	NA	NA	NA	NA	NA	NA
Sminthopsis_ooldea	80	72.5	13	75	70	11.5
