Species,Bl_mm,Tl_mm,Wt_g,Bl_min,Bl_max,Tl_min,Tl_max,Wt_min,Wt_max,Bl_min_M,Bl_max_M,Bl_min_F,Bl_max_F,Tl_min_M,Tl_max_M,Tl_min_F,Tl_max_F,Wt_min_M,Wt_max_M,Wt_min_F,Wt_max_F,Bl_Av_M,Bl_Av_F,Tl_Av_M,Tl_Av_F,Wt_Av_M,Wt_Av_F,Locomotor_use,Clade
Antechinomys_laniger,,,,,,,,,,80,100,70,95,100,150,100,140,,,,,85,85,130,120,30,20,Terrestrial,Dasyuromorph
Antechinus_agilis,,,,,,,,,,65,124,62,128,63,116,60,103,20,40,16,25,98,84,89,89,30,18,Scansorial,Dasyuromorph
Antechinus_bellus,,,,,,,,,,121,148,110,130,105,126,93,110,42,66,26,41,134,117,114,100,55,34,Scansorial,Dasyuromorph
Antechinus_flavipes,,,,,,,,,,93,165,86,127,70,151,65,107,26,79,21,52,121,107,100,86,56,34,Scansorial,Dasyuromorph
Antechinus_godmani,,,,,,,,,,110,156,117,130,99,143,92,112,48,123,42,78,139,124,120,103,87,56,Scansorial,Dasyuromorph
Antechinus_leo,,,,,,,,,,142,160,109,136,127,140,81,125,67,124,32,74,150,127,134,110,94,54,Scansorial,Dasyuromorph
Antechinus_minimus,,,,,,,,,,103,140,98,117,65,100,67,85,50,129,36,68,120,110,80,75,87,48.5,Terrestrial,Dasyuromorph
Antechinus_mysticus,,,,,,,,,,93,117,80,114,87,117,79,96,32,46,18,34,107,93,99,86,37,24,Scansorial,Dasyuromorph
Antechinus_stuartii,,,,,,,,,,81,141,73,116,70,124,65,116,29,71,17,40,106,94,94,85,35,20,Scansorial,Dasyuromorph
Antechinus_swainsonii,,,,,,,,,,103,188,89,140,80,121,75,100,43,178,37,100,128,116,107,92,65,41,Terrestrial,Dasyuromorph
Antechnius_adustus,,,,,,,,,,98,125,89,109,91,103,72,101,28,42,18,35,115,98,98,90,33,24,Scansorial,Dasyuromorph
Antechnius_subtropicus,,,,,,,,,,95,130,95,110,89,105,81,95,18,61,16,32,115,100,95,89,40.8,25.3,Scansorial,Dasyuromorph
Dasycercus_blythi,,,,,,,,,,135,165,120,140,75,100,60,90,75,110,60,90,,,,,,,Terrestrial,Dasyuromorph
Dasycercus_cristicauda,,,,,,,,,,130,230,120,170,80,125,80,110,110,185,65,120,,,,,,,Terrestrial,Dasyuromorph
Dasykaluta_rosamondae,,,,,,,,,,95,110,90,100,55,70,60,65,25,40,20,30,,,,,,,Terrestrial,Dasyuromorph
Dasyuroides_byrnei,,,,,,,,,,140,180,135,160,110,160,110,160,85,175,70,140,150,165,,,,,Terrestrial,Dasyuromorph
Dasyurus_geoffroii,,,,,,,,,,310,400,260,360,250,350,210,310,710,2185,615,1130,360,310,305,275,1310,890,Scansorial,Dasyuromorph
Dasyurus_hallucatus,,,,,,,,,,270,370,249,310,222,345,202,300,340,1120,240,690,,,,,,,Scansorial,Dasyuromorph
