"","% in raw dataset"
"Bl_mm",18.4713375796178
"Tl_mm",19.7452229299363
"Wt_g",16.5605095541401
"Bl_min",27.3885350318471
"Bl_max",27.3885350318471
"Tl_min",27.3885350318471
"Tl_max",27.3885350318471
"Wt_min",26.7515923566879
"Wt_max",26.7515923566879
"Bl_min_M",64.3312101910828
"Bl_max_M",64.3312101910828
"Bl_min_F",63.6942675159236
"Bl_max_F",63.6942675159236
"Tl_min_M",63.6942675159236
"Tl_max_M",63.6942675159236
"Tl_min_F",62.4203821656051
"Tl_max_F",62.4203821656051
"Wt_min_M",64.3312101910828
"Wt_max_M",64.3312101910828
"Wt_min_F",63.0573248407643
"Wt_max_F",63.0573248407643
"Bl_Av_M",47.1337579617834
"Bl_Av_F",47.1337579617834
"Tl_Av_M",44.5859872611465
"Tl_Av_F",45.859872611465
"Wt_Av_M",47.1337579617834
"Wt_Av_F",47.1337579617834
"range/no average, Body length",12.7388535031847
"range/no average (sexes), Body length",20.3821656050955
"range/no average, Tail length",12.1019108280255
"range/no average (sexes), Tail length",20.3821656050955
"range/no average, Weight",12.7388535031847
"range/no average (sexes), Weight",20.3821656050955
