Species,Tl_max,Bl_max,Wt_max,Tl_min,Bl_min,Wt_min,Tl_M,Bl_M,Wt_M,Tl_F,Bl_F,Wt_F,Tl_min_M,Tl_max_M,Bl_min_M,Bl_max_M,Wt_min_M,Wt_max_M,Tl_min_F,Tl_max_F,Bl_min_F,Bl_max_F,Wt_min_F,Wt_max_F,Tl_Av_M,Bl_Av_M,Wt_Av_M,Bl_Av_F,Tl_Av_F,Wt_Av_F,Locomotor_mode,Prehensility,Habitat
Notoryctes_caurinus,18,93,50,16,86,30,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Notoryctes_typhlops,24,115,70,13,69,40,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Macrotis_lagotis,284,470,1800,200,295,900,245,425,1750,239,340,950,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Isoodon_obesulus,136.5,345,1525,90,290,450,117.5,330,1175,109,305,800,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Isoodon_auratus,121,295,635,84,190,275,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Isoodon_macrourus,200,440,2400,85,300,500,152.5,385,1800,132.5,355,1100,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Perameles_bougainville,103,224,329.5,82.5,176,166.5,90.5,202.5,224,95,197.5,272,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Perameles_gunnii,102.5,350,1275,70,270,500,90,310,800,82.5,310,975,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Perameles_nasuta,160,445,1330,120,310,520,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Chaeropus_ecaudatus,150,260,200,100,230,200,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Echymipera_rufescens,99,447.5,1712.5,75,246.5,412.5,91,379,1375,83,315,750,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Thylacinus_cynocephalus,650,1300,35000,500,1000,15000,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Myrmecobius_fasciatus,210,278.5,699.5,132.5,211,355,166,256,578.5,176.5,233.5,476,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Planigale_maculata,78.5,86.5,19.6,46,51.35,3.75,66,70.85,13,58.5,67,10.35,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Planigale_ingrami,66.5,67.5,6.2,52,49.5,2.7,60.5,60.5,4.7,58,56.5,4.2,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Planigale_gilesi,67.5,75,12.5,55,60,7.25,62.5,70,12.75,60,65,7,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Planigale_tenuirostris,62.5,72.5,8,51,50,4.25,58.5,62.5,6.75,55,60,5.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_crassicaudata,70,90,20,40,60,10,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_bindi,101,82,20,61.5,55,12,83.5,71,16,79,66,16,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_virginiae,123.5,134,46,95,93,24.5,117.5,115.5,44.5,101,111.5,26,,,,,,,,,,,,,,,,,,,Scansorial,No,Forest_shrub
Sminthopsis_douglasi,125,130,65,115,120,45,125,132.5,60,115,117.5,50,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_macroura,110,100,25,80,70,15,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
